	Tweet	sweet
13	In today’s digital world, your CRAs should be able to complete monitoring visit reports while mobile. Learn about our partnership with @onthemovesoftware and the fast implementation available for your teams.  https://t.co/jsCOZjFWwO  https://t.co/lo4OS2Fcuh	today digit world al_caps_cra abl complet monitor visit report mobil learn partnership atus fast implement avail tear
14	A digital-first sales strategy can be challenging to implement. Find out how Mark McLaughlin @MarkMcLDC, a commercial leader, overcame challenges on the road to digital. #HCPEngagement #PharmaCRM  https://t.co/s9dEWBMSgi  https://t.co/L57APUnFiH	digitalfirst sale strategi challeng implement mind dark mclaughlin atus commerci leader overcam challeng road digit al_caps_hcpengagementngag pharmaal_caps_pharmacrm
15	Kickstart feasibility with the Vault Clinical Operations Global Investigator Directory. Watch this short demo to see how:  https://t.co/W8nMTdf4Hf	kickstart sensibl fault clinic oper global investig directori watch short domo see
16	Decentralized clinical trials are front and center in nearly every trial-related conversation today. But are they here to stay? Veeva’s Henry Levy on how #DCTs can reduce patient burden and broaden the reach of studies.  https://t.co/RfdDRMnqhU	central clinic trial front center nearli trialrel convers today stay texa henri levi al_caps_dct reduc patient burden broaden reach studi
17	Shionogi Europe increased their speed to market by leveraging key business insights by regions. Read this case study to learn how Veeva Nitro helped them be more agile and data driven.  https://t.co/rbov4NTfTy #dataanalytics #lifesciences  https://t.co/4VBnFUj0p1	shionogi europ increas speed market averag key busi insight region head case studi learn eva micro help agil data driven datanalyt lifesci
18	How can monitors quickly identify and focus on high-risk activities to make the most of their time during on-site visits? Our latest blog evaluates how a risk-based monitoring approach can provide more accuracy and focus post-COVID.  https://t.co/OEu3fTNrgl  https://t.co/GKEHbQd8wc	monitor quickli identifi focu highrisk activ make time insid visit latest blow evalu riskbas monitor approach provid accuraci focu postal_caps_postcovid
19	COVID has increased the urgency to tackle health equity barriers. Veeva’s Sarah Caldwell talks to PharmaVOICE about how gaining a deeper understanding of patient profiles can help.  https://t.co/81df2w7Snr	al_caps_covid increas urgenc tackl health equiti barrier texa sarah caldwel talk pharmaal_caps_pharmavoic gain deeper understand patient profil help
20	Are you using data to optimize your study start-up processes? Reliable data can help you identify pain points and inefficiencies causing study delays. Read more in our latest blog.  https://t.co/J32XmLihKk	are use data optim studi start process reliabl data help identifi pain point ineffici caus studi delay head latest blow
21	" Discover how one commercial leader set his field force up for ""anytime, anywhere"" customer engagement. #HCPEngagement #PharmaCRM  https://t.co/s9dEWBMSgi  https://t.co/ZKjvyszOsG"	discov commerci leader set field forc daytim anywher custom engag al_caps_hcpengagementngag pharmaal_caps_pharmacrm
22	Drive #clinicaltrial efficiencies by eliminating excel trackers and enabling document reuse with the Vault Clinical Global Directory. See how:  https://t.co/W8nMTdf4Hf	drive clinicaltri defici elimin expel trace enabl document refus fault clinic global directori see
23	#Lifesciences companies across North America and Europe are prioritizing #dataquality improvement initiatives in 2021. Watch this video blog to learn more:  https://t.co/fz1Rum3Cdp #pharma  https://t.co/b5AUIvVQvR	lifesci compani north america europ priorit dataqu improv initi watch video blow learn parma
24	The average top 20 #pharma creates 40,000 monitoring reports per year. A risk-based approach enables #sponsors and #CROs to allocate resources more effectively and #CRAs to focus on critical risks. Read more on ways to save time and improve study quality:  https://t.co/OEu3fTNrgl  https://t.co/3JUCjoovZK	averag top parma creat monitor report year A riskbas approach enabl sponsor al_caps_cro alloc resourc effect al_caps_cra focu critic risk head way save time improv studi qualiti
25	Looking for ways to deliver compliant, personalized, and scalable content faster? Learn how to implement modular content in your organization. Read this guide to learn more:  https://t.co/Koz9TnaP0o    #pharmaceuticals #lifesciences #contentmarketing  https://t.co/Ws9p1Tr6N5	look way deliv complaint person capabl content faster learn implement nodular content organ head guid learn pharmaceut lifesci contentmarket
26	As your CRAs begin to resume onsite visits post-COVID, improve efficiency by simplifying monitoring visit reports and allow them to be completed offline. Learn how  https://t.co/jsCOZjFWwO  https://t.co/7M0o4e3krp	al_caps_cra begin resum insid visit postal_caps_postcovid improv effici simplifi monitor visit report allow complet onlin learn
27	In a recent industry report, 75% of experts said they needed to reduce manual processes to improve information sharing. Jim Reilly predicts we will see companies continue to adopt digital applications over manual processes. See our other predictions here: https://t.co/LZtidcDK3e	recent industri report expert said need reduc manual process improv inform share him repli predict see compani continu adopt digit applic manual process see predict
28	More than 80% of #lifesciences companies need more data on HCP-HCO relationships. Watch this video blog to learn more:  https://t.co/fz1Rum3Cdp #customerdata  https://t.co/NM3tbXJu8z	more lifesci compani need data al_caps_hcphco relationship watch video blow learn customerdata
29	Are you looking for ways to simplify and automate clinical operations processes to get medicine to patients faster? Hear how @AstraZeneca did it in this on-demand webinar.  https://t.co/dOl8GKaD6R  https://t.co/tnYsN3zLBJ	are look way simplifi automat clinic oper process get medicin patient faster dear atus demand weimar
30	Reducing the number of systems and integrations allows users to focus on their work, track key metrics, and analyze data in one place. Learn more about the benefits of unified, purpose-built #studystartup technology:  https://t.co/J32XmLihKk	reduc number system integr allow user focu work track key merit analyz data place learn benefit unifi purposebuilt studystartup technolog
31	How can companies drive #CommercialExcellence in today’s digital environment? Veeva's VP of Business Consulting Dan Rizzo on 3 strategies reps can use to better meet the needs of their customers:   https://t.co/9GXzV8m9iE	compani drive comercialexcel today digit environ eva of busi consult an size strateg rep use better meet need custom
32	Want a global perspective of #customerdata trends in #lifesciences? Watch this video blog for a comparison of data survey findings across North America and Europe:  https://t.co/fz1Rum3Cdp #pharma	want global perspect customerdata tend lifesci watch video blow comparison data survey find north america europ parma
33	Shionogi Europe's approach to implement Veeva Nitro allowed them to scale quickly and gain user adoption across regions. Dan Atkins explains how in this video:  https://t.co/VqQ5onB2aA  #dataanalytics #pharma	shionogi europ approach implement eva micro allow scale quickli gain user adopt region an stain explain video datanalyt parma
34	Learn how effective collaboration can impact TMF quality and inspection readiness:  https://t.co/vl65TheCRE  https://t.co/6YAM9UpVlz	learn effect collabor impact al_caps_tmf qualiti inspect readi
35	Recent survey findings show that a unified clinical landscape is essential for improving trial quality and speed. Hear @AstraZeneca's approach and learnings from their journey to unifying clinical operations.  https://t.co/dOl8GKaD6R  https://t.co/cB92dYg3Bf	recent survey find show unifi clinic landscap essenti improv trial qualiti speed dear approach learn journey unifi clinic oper
36	Do you have visibility to #studystartup activities across countries and sites? Read our latest blog to learn how you can leverage modern technology to optimize study start-up processes.  https://t.co/J32XmLihKk	to visibl studystartup activ countri site head latest blow learn beverag modern technolog optim studi start process
37	25%-30% of total #clinicaltrial costs are attributed to #sitemonitoring, however, this can be streamlined with a risk-based approach. Read more in our latest blog:  https://t.co/OEu3fTNrgl  https://t.co/agvfxcwfLd	total clinicaltri cost attribut sitemonitor howev streamlin riskbas approach head latest blow
38	86% of life sciences companies are creating more content now compared to six months ago. Speed up MLR and content creation with a modular approach. Read this guide to learn more:  https://t.co/5H7Skl7rjz    #pharmaceuticals #lifesciences #contentmarketing  https://t.co/hOGSCvCdXl	life scienc compani creat content compar month ago speed al_caps_mlr content creation nodular approach head guid learn pharmaceut lifesci contentmarket
39	Looking for ways to maximize HCP engagement this year? Veeva’s VP of Commercial Strategy Rob Steere shares 5 tips to improve rep productivity and customer experience:  https://t.co/9tk2wAIUBj #DigitalEngagement	look way minim al_caps_hcp engag year texa of commerci strategi mob were share tip improv rep product custom experi digitalengag
40	“Pandemic or no pandemic, remote engagement is here to stay.” Veeva’s EVP of Strategy Paul Shawah looks back on 2020 and how digital will create new levels of efficiency in the future.  https://t.co/6fnOYqXXEN #DigitalEngagement	anaem anaem remot engag stay texa al_caps_evp strategi paul ahahah look back digit creat new level effici futur digitalengag
41	With an increase in #clinicaltrial complexity, effective collaboration between sponsors, CROs, and sites is crucial to speed trials:  https://t.co/vl65TheCRE  https://t.co/3kTlTXI6xl	increas clinicaltri complex effect collabor sponsor al_caps_cro site crucial speed trial
42	Watch Veeva's Jim Reilly discuss how trials will be fundamentally different in 2021 on #ACRPtv.  https://t.co/kOkEorFpGO via @ACRPDC	watch eva him repli discu trial fundament differ al_caps_acrptvtv atus
43	Impel NeuroPharma partners with Veeva to ensure an efficient, compliant, and digital-first approach to commercialization.  https://t.co/iSBMox0EEL #VeevaCommercialCloud	impel neuropharma partner eva ensur effici complaint digitalfirst approach commerci vevacomercialcloud
44	Emails between sales reps and HCPs increased by 600% last year. To support #digitaltransformation, you need accurate customer data. Learn how in this eBook:  https://t.co/SWvis7VWWW   #VeevaOpenData #pharma  https://t.co/DOfvF3JfUJ	mail sale rep al_caps_hcp increas last year support digitaltransform need accur custom data learn took vevaopendata parma
45	We expect to see the adoption of digital applications breakdown silos between #sponsors, #CROs, #sites, and #patients to improve #clinicaltrials. Take a look at our other predictions for 2021 here:  https://t.co/LZtidcDK3e	expect see adopt digit applic silk sponsor al_caps_cro site patient improv clinicaltri take look predict
46	Making decisions that are in line with employees and customers will help corporations have a greater impact in their industry. EVP of Strategy Paul Shawah on why Veeva made the move to become a #PublicBenefitCorporation.  https://t.co/F8gQB3iRaE	take decis line employe custom help corpor greater impact industri al_caps_evp strategi paul ahahah eva made move becom publicbenefitcorpor
47	Veeva becoming a #PublicBenefitCorporation makes it the legal duty of our board to balance the interests of all stakeholders for every important company decision and to pursue our public benefit purpose. Learn more in @OutsourcPharma.  https://t.co/23cOJRqEsY	eva becom publicbenefitcorpor make legal duti board balanc interest slavehold import compani decis pursu public benefit purpos learn atus
48	CRAs can now complete monitoring visit reports offline and automatically sync them back to Vault CTMS. Attend this short webinar to learn more:  https://t.co/jsCOZjFWwO  https://t.co/gMiajgD9Z3	al_caps_cra complet monitor visit report onlin automat son back fault al_caps_ctm attend short weimar learn
49	Learn how you can build a culture of collaboration and improve inspection readiness in this blog:  https://t.co/4sZOt2i4Mz  https://t.co/N5rxySyiVN	learn build cultur collabor improv inspect readi blow
50	Maintain and reuse institution, vendor, and investigator information across #eTMF, #CTMS, and #studystartup with the Vault Clinical Operations Global Directory. See how  https://t.co/W8nMTdf4Hf	maintain refus institut vendor investig inform eal_caps_etmf al_caps_ctm studystartup fault clinic oper global directori see
51	Veeva becoming a #PublicBenefitCorporation makes it the legal duty of our board to balance the interests of stakeholders for every important company decision and pursue our public benefit purpose. Learn more about what becoming a PBC in @OutsourcPharma.  https://t.co/SsAEFbFWuT	eva becom publicbenefitcorpor make legal duti board balanc interest slavehold import compani decis pursu public benefit purpos learn becom al_caps_pbc atus
52	As the industry adopts more digital workflows and applications, we believe we will see more life-changing medicines delivered to patients. Learn more about accelerated drug development and other industry trends here:  https://t.co/LZtidcDK3e	industri adopt digit workflow applic believ see lifechang medicin deliv patient learn acceler drug develop industri tend
53	Large corporations can’t just focus on shareholder returns anymore, but also understand their impact to society. Read #CEO Peter Gassner’s article to learn more about the #PublicBenefitCorporation structure.  https://t.co/XMURPi0Ml4  #ESG  https://t.co/SB7HweDhOz	larg corpor can focu sharehold return anymor also understand impact societi head al_caps_ceo peter master articl learn publicbenefitcorpor structur al_caps_esg
54	@AstraZeneca set out to eliminate using spreadsheets and emails to track and share data. Watch this on-demand session to hear how their operational process improvements also transformed the end-user experience for their staff.  https://t.co/dOl8GKaD6R  https://t.co/wqeKuEFTO6	atus set elimin use spreadsheet email track share data watch demand session hear oper process improv also transform endur experi staff
55	5 steps to drive collaboration across your TMF and improve inspection readiness. Learn more:  https://t.co/4sZOt2i4Mz #clinicaltrials  https://t.co/Zei2tkfLJh	step drive collabor al_caps_tmf improv inspect readi learn clinicaltri
56	Learn how the Vault Clinical Operations Global Directory enables document reuse across studies, making teams more efficient. Watch now:  https://t.co/W8nMTdf4Hf	learn fault clinic oper global directori enabl document refus studi make tear effici watch
57	CEO Peter Gassner believes large companies also have a duty to serve society, not just shareholders. Read his opinion on #CSR &amp; #PublicBenefitCorporation to learn more.  https://t.co/XMURPi0Ml4  https://t.co/xRCxn2zeMR	al_caps_ceo peter master belief larg compani also duti serv societi sharehold head opinion al_caps_csr adam publicbenefitcorpor learn
58	As the #clinicaltrial pipeline becomes more complex, collaboration is key to managing your TMF. Learn more:  https://t.co/vl65TheCRE  https://t.co/4RMWelnHJ8	clinicaltri pipelin becom complex collabor key manag al_caps_tmf learn
59	The need for corporate responsibility has never been more clear. Read #CEO Peter Gassner’s article to learn why we need to move to a form of capitalism where corporations aren’t only about the money.  https://t.co/XMURPi0Ml4 #PublicBenefitCorporation  https://t.co/7Yq9TPvJdF	need corpor respons never clear head al_caps_ceo peter master articl learn need move form capit corpor money publicbenefitcorpor
60	In response to #COVID19, we saw the #lifesciences industry swiftly adopt digital clinical applications to speed drug development. See the operating models experts predict will emerge throughout 2021.  https://t.co/LZtidcDK3e	respons al_caps_covid saw lifesci industri swiftli adopt digit clinic applic speed drug develop see oper model expert predict emerg
61	@AstraZeneca recently joined us for a fireside chat to discuss their change management techniques to effectively deploy Vault CTMS. Listen on-demand to hear about the operational process improvements they saw after unifying their clinical operations suite.  https://t.co/dOl8GKaD6R  https://t.co/hBuvC9m8h0	atus recent join firesid chat discu chang manag techniqu effect deploy fault al_caps_ctm listen demand hear oper process improv saw unifi clinic oper suit
62	Excel trackers aren’t efficient for managing study start-up milestones. Select purpose-built study start-up technology to simplify the end-user and IT experience. Learn more  https://t.co/J32XmLihKk	expel trace agent effici manag studi start mileston select purposebuilt studi start technolog simplifi endur of experi learn
63	Hear how @SanofiUS evolved its omnichannel strategy to meet the needs of HCPs.  https://t.co/Wtyc2QDzmG #pharma #VeevaMultichannelCRM  https://t.co/XhRCfjFuar	dear atus evolv omnichanel strategi meet need al_caps_hcp parma vevamultichanelal_caps_vevamultichanelcrm
64	CEO Peter Gassner is passionate that corporations need to serve society, not just shareholders. Read more to learn about the #PublicBenefitCorporation structure.  https://t.co/XMURPi0Ml4 #ESG  https://t.co/Mcpjs1Ma21	al_caps_ceo peter master passion corpor need serv societi sharehold head learn publicbenefitcorpor structur al_caps_esg
65	Learn how to simplify trip reports in less than 30 minutes. Join us, along with @onthemovesoftware, to see how you can shorten the amount of time needed for visit write-ups.  https://t.co/jsCOZjFWwO  https://t.co/ZYVh01L1A4	learn simplifi trip report le minut join atus see shorten amount time need visit writer
66	How can we make #CRAs more efficient in the post-COVID era? @LaurenGarson shares how implementing a risk-based monitoring strategy can help.  https://t.co/OEu3fTNrgl  https://t.co/U4d5D0ONLz	make al_caps_cra effici postal_caps_postcovid era atus share implement riskbas monitor strategi help
67	Poor quality data costs the US economy an average of $3.1T every year. Creating a #datadriven culture requires accurate and comprehensive #customerdata. Learn four best practices for becoming a data-led company:  https://t.co/rg1im7Ared  #lifesciences  https://t.co/UzV8rURwIP	door qualiti data cost of economi averag T year creat datadriven cultur requir accur comprehens customerdata learn best practic becom damag compani lifesci
68	CEO Peter Gassner discusses how Veeva is helping the industry improve efficiency and speed in the time of #COVID19 and why doing good for customers and employees is good for business on @CNBC.  https://t.co/ZmPoLabDQh #PublicBenefitCorporation  https://t.co/V7ibh5i205	al_caps_ceo peter master discu eva help industri improv effici speed time al_caps_covid good custom employe good busi atus publicbenefitcorpor
69	Achieve faster #clinicaltrials and maintain inspection readiness with effective TMF collaboration.  https://t.co/5QAlpfirJW  https://t.co/Nqim13Ovsc	achiev faster clinicaltri maintain inspect readi effect al_caps_tmf collabor
70	Are you looking for ways to make monitoring easier and more efficient for your #CRAs? Attend this 30-minute webinar to learn how CRAs can fill out trip reports offline. Register now:  https://t.co/jsCOZjFWwO  https://t.co/CwS4J8FjVk	are look way make monitor easier effici al_caps_cra attend minut weimar learn al_caps_cra fill trip report onlin regist
71	As a #PublicBenefitCorporation, Veeva’s legal charter will align with its customers’ long-term mission to advance human health and wellbeing, and create high-quality employment opportunities in the communities it serves.  https://t.co/IgCkZeThMz #StakeholderCapitalism #NowHiring  https://t.co/jpdAe6eXKe	publicbenefitcorpor texa legal charter align custom longer mission advanc human health well creat highqual employ opportun commun serf stakeholdercapit nowhir
72	Emails between sales reps and HCPs increased by 600% last year. To support #digitaltransformation, you need accurate customer data. Learn how in this eBook:  https://t.co/SWvis7VWWW   #VeevaOpenData #pharma  https://t.co/66kzDm0sYU	mail sale rep al_caps_hcp increas last year support digitaltransform need accur custom data learn took vevaopendata parma
73	72% of #clinicaltrials will be outsourced by the end of 2021. Find out why collaboration is key to TMF quality in this blog:  https://t.co/5QAlpfirJW  https://t.co/0ueBlM9cCx	clinicaltri outsourc end mind collabor key al_caps_tmf qualiti blow
74	What new #clinicaloperations innovations you predict to see in 2021? Veeva experts expect to see a continuation of digital adoption and collaboration. See more here:  https://t.co/LZtidcDK3e	new clinicaloper innov predict see eva expert expect see continu digit adopt collabor see
75	We’re making #Boston our new #engineering hub for clinical trials software. Join a mission-driven company focused on the #lifesciences industry, employee success, and the community.  https://t.co/oZEeccAkdP via @BostonGlobe #NowHiring  https://t.co/l73ixsaURO	make boston new engin hut clinic trial softwar join misiondriven compani focus lifesci industri employe success commun atus nowhir
76	Need to create commercial content faster while remaining compliant? Find out why modular content is a trend to look out for in Veeva's list of 2021 predictions:  https://t.co/frugy3h7SF	need creat commerci content faster remain complaint mind nodular content trend look eva list predict
77	Accurate #customerdata is critical for accelerating #digitaltransformation. Read this blog to learn how it can support your shift to digital. #hcpdata #lifesciences   https://t.co/57gzNq3LnU	accur customerdata critic acceler digitaltransform head blow learn support shift digit hcpdata lifesci
78	It is time to shift from paper and manual to digital and automated in #clinicaltrials. Learn why on #ACRPtv.  https://t.co/YDCrYBcopR via @ACRPDC #lifesciences	time shift paper manual digit automat clinicaltri learn al_caps_acrptvtv atus lifesci
79	Custom functions place a huge burden on data management teams and introduce risk when copying from one study to another. Veeva's Dan Crawford explains how Vault EDC reduces custom functions by 90%:  https://t.co/v9PBPAQ6r1  https://t.co/sPP9VJ0rr2	custom function place huge burden data manag tear introduc risk copi studi eva an crawford explain fault al_caps_edc reduc custom function
80	What does the future hold for the #lifesciences industry this year? See Jim Reilly, VP, Vault R&amp;D, predictions here:  https://t.co/LZtidcDK3e	futur hold lifesci industri year see him repli of fault randampd predict
81	Is your customer reference data accurate, comprehensive, and proactively updated? Assess your data provider’s solution with this checklist. #customerdata #pharma   https://t.co/EcspAqpcWY	is custom refer data accur comprehens proactiv updat ass data provid solut checklist customerdata parma
82	Complete customer data and responsive data stewards are key to effective HCP engagement. See more findings from the 2020 NA Customer Reference Data Survey.  Get the infographic &amp; report here:  https://t.co/EjNJsefAaa  #pharma #lifesciences  https://t.co/LV4iU1DWm5	complet custom data respons data steward key effect al_caps_hcp engag see find of custom refer data survey met infograph adam report parma lifesci
83	Sponsors, CROs, and sites are entering an era in which clinical development will be much more connected, digital, and streamlined, via @ACRPDC   https://t.co/Rw5NLQ9uwU	sponsor al_caps_cro site enter era clinic develop much connect digit streamlin atus
84	Veeva will add 200 software engineers in the next 18 months in #Boston. Join a team focused on driving innovation and speed for clinical trials. Learn more in @BostonGlobe:  https://t.co/oZEeccAkdP   #NowHiring #SoftwareEngineering  https://t.co/5T0xZyVBWf	eva add softwar engin next month boston join team focus drive innov speed clinic trial learn atus nowhir softwareengin
85	As a #PublicBenefitCorporation, Veeva is aligning with the industry’s mission so customers have confidence to partner with us for the long-term. In doing so, we are helping customers be more productive to bring medicines to patients faster.  https://t.co/SsAEFbFWuT	publicbenefitcorpor eva align industri mission custom confid partner longer help custom product bring medicin patient faster
86	As a #PublicBenefitCorporation, Veeva remains focused on helping the industry be more effective and efficient.  https://t.co/StiuZJh4ts via @PM360online  https://t.co/igW5SHRGvO	publicbenefitcorpor eva remain focus help industri effect effici atus
87	As a #PublicBenefitCorporation, Veeva is aligning with the industry’s mission so customers have confidence to partner with us for the long-term. In doing so, we are helping customers be more productive to bring medicines to patients faster.  https://t.co/SsAEFbFWuT	publicbenefitcorpor eva align industri mission custom confid partner longer help custom product bring medicin patient faster
88	A #ModularContent strategy drives value across your organization and supports faster and scalable commercial content creation. Learn how:  https://t.co/w9a76hVRaz #pharma #lifesciences #digitalcontent	modularcont strategi drive valu organ support faster capabl commerci content creation learn parma lifesci digitalcont
89	Streamline case processing and management with a unified #pharmacovigilance solution.  https://t.co/Kv9U5k4myY  https://t.co/PLKQfFDMjx	streamlin case process manag unifi pharmacovigil solut
90	Learn why @parkerici adopted a new #EDC and their strategies to handle challenges #oncology teams face when building studies  https://t.co/IrlnCpJVoH  https://t.co/5b5nEcD9QG	learn atus adopt new al_caps_edc strateg handl challeng oncolog tear face build studi
91	Need to create commercial content faster while remaining compliant? Find out why modular content is a trend to look out for in Veeva's list of 2021 predictions:  https://t.co/frugy3h7SF	need creat commerci content faster remain complaint mind nodular content trend look eva list predict
92	See how the Vault Clinical Operations Suite global directory and investigator database eliminates Excel trackers and enables document reuse, driving trial efficiencies.  https://t.co/jftOL6o6Wi  https://t.co/B6bDPnFLfs	see fault clinic oper quit global directori investig databas elimin expel trace enabl document refus drive trial defici
93	$15M is the average annual cost of bad data. Learn how to respond proactively by setting the right foundations for a data-driven culture. Get the eBook:  https://t.co/SWvis7VWWW   #VeevaOpenData #pharma  https://t.co/5l7Sqvroy0	M averag annual cost bad data learn respond proactiv set right foundat datadriven cultur met took vevaopendata parma
94	Almost all sponsors and CROs report a need to unify their clinical applications, and most respondents (83%) now have initiatives planned or underway. Read the report to understand the industry’s drivers behind this change:  https://t.co/QLCB9dYaUI  https://t.co/ZVcV4ZqFjL	almost sponsor al_caps_cro report need uniti clinic applic respond initi plan underway head report understand industri driver chang
95	As digital channels are accelerating, discover how Roche, Merck KGaA, and LEO Pharma are using combined MLR and DAM to deliver more personalized and impactful content, faster than ever. Read the blog now.  https://t.co/Wp0ofvekvI	digit channel acceler lock neck kgaa al_caps_leo harm use combin al_caps_mlr al_caps_dam deliv person impact content faster ever head blow
96	Veeva's VP of Vault R&amp;D Jim Reilly joins #ACRPtv to discuss why it is critically important to improve information sharing in clinical trials. Watch the full episode here.  https://t.co/kOkEorFpGO via @ACRPDC #clinicaltrials	eva of fault randampd him repli join al_caps_acrptvtv discu clinic import improv inform share clinic trial watch full episod atus clinicaltri
97	Veeva SVP and general counsel Josh Faddis speaks with Christopher Marquis on the #PublicBenefitCorporation conversion process and the significance of Veeva’s move on the #lifesciences industry.  https://t.co/rrwh88hT2D via @bcorpuscan  https://t.co/2oCwXacs1H	eva al_caps_svp gener counsel most ladi speak christoph marqui publicbenefitcorpor convers process signific texa move lifesci industri atus
98	Veeva SVP and general counsel Josh Faddis speaks with @CMarquisCornell on the #PublicBenefitCorporation conversion process and significance of Veeva’s move on the #lifesciences industry.  https://t.co/rrwh88hT2D via @bcorpuscan	eva al_caps_svp gener counsel most ladi speak atus publicbenefitcorpor convers process signific texa move lifesci industri atus
99	It's been over a year since the first U.S. #COVID-19 diagnosis. See how the virus has impacted health and media behaviors in 2020 in our latest infographic.  https://t.co/eIYrLVILBN  #pharmamarketing #biopharma #healthcaremarketing  https://t.co/eCLAXX9Kr2	year first of al_caps_covid diagnosi see viru impact health medium behavior latest infograph pharmamarket biopharma healthcaremarket
100	Take control of your data. Get ahead of the competition by accelerating your #digitaltransformation journey. Learn how:  https://t.co/qGmF7nJ35l   #VeevaOpenData #pharma  https://t.co/f12cXdiQIm	take control data met ahead competit acceler digitaltransform journey learn vevaopendata parma
101	" ""If your digital #DTC campaign is driving patients to request a brand and #HCPs don’t have the background information to conduct a dialogue about the treatment, the effectiveness of the DTC campaign can be undermined"" - Sarah Caldwell in @PM360online.  https://t.co/SDUQbvzeh9  https://t.co/ePQ56SfLvj"	digit al_caps_dtc campaign drive patient request brand al_caps_hcp background inform conduct dialogu treatment effect al_caps_dtc campaign undermin sarah caldwel atus
102	A #ModularContent strategy drives value across your organization and supports faster and scalable commercial content creation. Learn how:  https://t.co/w9a76hVRaz #pharma #lifesciences #digitalcontent	modularcont strategi drive valu organ support faster capabl commerci content creation learn parma lifesci digitalcont
103	Veeva EVP of strategy Paul Shawah to @PM360online: “We’ve always operated with the industry’s best interest at heart…we wanted to align how we were operating with our official articles of incorporation.” Read about our transition to a PBC:  https://t.co/StiuZJh4ts	eva al_caps_evp strategi paul ahahah atus eve alway oper industri best interest heart want align oper offici articl incorpor head transit al_caps_pbc
